Molecule ID,pKa1,pKa2,pKa3,Assay Type,Experiment ID,Experimental Molecule ID,Experiment Report,canonical isomeric SMILES,Notes
SM06,3.46,>12,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17K-09021,M06,SM06_17K-09021_M06_UV-metric psKa_report.pdf,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,not used for the analysis of predicted pKa
SM06,3.4,>12,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17K-10008,M06,SM06_17K-10008_M06_UV-metric psKa_report.pdf,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,not used for the analysis of predicted pKa
SM06,3.45,>12,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17K-16011,M06,SM06_17K-16011_M06_UV-metric psKa_report.pdf,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,not used for the analysis of predicted pKa
SM07,6.07,,,UV-metric pKa,17I-16002,M07,SM07_17I-16002_M07_UV-metric pKa_report.pdf,c1ccc(cc1)CNc2c3ccccc3ncn2,
SM07,6.07,,,UV-metric pKa,17I-16004,M07,SM07_17I-16004_M07_UV-metric pKa_report.pdf,c1ccc(cc1)CNc2c3ccccc3ncn2,
SM07,6.09,,,UV-metric pKa,17I-20001,M07,SM07_17I-20001_M07_UV-metric pKa_report.pdf,c1ccc(cc1)CNc2c3ccccc3ncn2,
SM07,5.96,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-12006,M07,SM07_17J-12006_M07_UV-metric psKa_report.pdf,c1ccc(cc1)CNc2c3ccccc3ncn2,not used for the analysis of predicted pKa
SM08,4.23,,,UV-metric pKa,17I-19001,M08,SM08_17I-19001_M08_UV-metric pKa_report.pdf,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,
SM08,4.2,,,UV-metric pKa,17I-19002,M08,SM08_17I-19002_M08_UV-metric pKa_report.pdf,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,
SM08,4.22,,,UV-metric pKa,17I-19003,M08,SM08_17I-19003_M08_UV-metric pKa_report.pdf,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,
SM08,4.47,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-12007,M08,SM08_17J-12007_M08_UV-metric psKa_report.pdf,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,not used for the analysis of predicted pKa
SM11,3.89,,,UV-metric pKa,17I-16005,M11,SM11_17I-16005_M11_UV-metric pKa_report.pdf,c1ccc(cc1)n2c3c(cn2)c(ncn3)N,
SM11,3.89,,,UV-metric pKa,17I-16006,M11,SM11_17I-16006_M11_UV-metric pKa_report.pdf,c1ccc(cc1)n2c3c(cn2)c(ncn3)N,
SM11,3.89,,,UV-metric pKa,17I-16007,M11,SM11_17I-16007_M11_UV-metric pKa_report.pdf,c1ccc(cc1)n2c3c(cn2)c(ncn3)N,
SM11,3.74,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-04003,M11,SM11_17J-04003_M11_UV-metric psKa_report.pdf,c1ccc(cc1)n2c3c(cn2)c(ncn3)N,not used for the analysis of predicted pKa
SM12,5.28,,,UV-metric pKa,17I-21002,M12,SM12_17I-21002_M12_UV-metric pKa_report.pdf,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,
SM12,5.28,,,UV-metric pKa,17I-21003,M12,SM12_17I-21003_M12_UV-metric pKa_report.pdf,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,
SM12,5.27,,,UV-metric pKa,17I-21004,M12,SM12_17I-21004_M12_UV-metric pKa_report.pdf,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,
SM12,5.16,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-11014,M12,SM12_17J-11014_M12_UV-metric psKa_report.pdf,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,not used for the analysis of predicted pKa
SM13,5.79,,,UV-metric pKa,17I-16011,M13,SM13_17I-16011_M13_UV-metric pKa_report.pdf,Cc1cccc(c1)Nc2c3cc(c(cc3ncn2)OC)OC,
SM13,5.76,,,UV-metric pKa,17I-16012,M13,SM13_17I-16012_M13_UV-metric pKa_report.pdf,Cc1cccc(c1)Nc2c3cc(c(cc3ncn2)OC)OC,
SM13,5.76,,,UV-metric pKa,17I-16013,M13,SM13_17I-16013_M13_UV-metric pKa_report.pdf,Cc1cccc(c1)Nc2c3cc(c(cc3ncn2)OC)OC,
SM13,5.68,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-04005,M13,SM13_17J-04005_M13_UV-metric psKa_report.pdf,Cc1cccc(c1)Nc2c3cc(c(cc3ncn2)OC)OC,not used for the analysis of predicted pKa
SM14,2.59,5.31,,UV-metric pKa,17I-29002,M15,SM14_17I-29002_M15_UV-metric pKa_report.pdf,c1ccc(cc1)n2cnc3c2ccc(c3)N,
SM14,2.57,5.29,,UV-metric pKa,17I-29003,M15,SM14_17I-29003_M15_UV-metric pKa_report.pdf,c1ccc(cc1)n2cnc3c2ccc(c3)N,
SM14,2.57,5.29,,UV-metric pKa,17I-29004,M15,SM14_17I-29004_M15_UV-metric pKa_report.pdf,c1ccc(cc1)n2cnc3c2ccc(c3)N,
SM14,2.56,5.29,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-12008,M15,SM14_17J-12008_M15_UV-metric psKa_report.pdf,c1ccc(cc1)n2cnc3c2ccc(c3)N,not used for the analysis of predicted pKa
SM15,4.71,8.96,,UV-metric pKa,17K-10009,M16,SM15_17K-10009_M16_UV-metric pKa_report.pdf,c1ccc2c(c1)ncn2c3ccc(cc3)O,
SM15,4.7,8.94,,UV-metric pKa,17K-10010,M16,SM15_17K-10010_M16_UV-metric pKa_report.pdf,c1ccc2c(c1)ncn2c3ccc(cc3)O,
SM15,4.69,8.92,,UV-metric pKa,17K-10011,M16,SM15_17K-10011_M16_UV-metric pKa_report.pdf,c1ccc2c(c1)ncn2c3ccc(cc3)O,
SM15,4.67,9.01,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-12009,M16,SM15_17J-12009_M16_UV-metric psKa_report.pdf,c1ccc2c(c1)ncn2c3ccc(cc3)O,not used for the analysis of predicted pKa
SM16,5.37,10.64,,UV-metric pKa,17J-03025,M18,SM16_17J-03025_M18_UV-metric pKa_report.pdf,c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,
SM16,5.37,10.65,,UV-metric pKa,17J-03026,M18,SM16_17J-03026_M18_UV-metric pKa_report.pdf,c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,
SM16,5.38,10.65,,UV-metric pKa,17J-03027,M18,SM16_17J-03027_M18_UV-metric pKa_report.pdf,c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,
SM16,5.35,11.01,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-12010,M18,SM16_17J-12010_M18_UV-metric psKa_report.pdf,c1cc(c(c(c1)Cl)C(=O)Nc2ccncc2)Cl,not used for the analysis of predicted pKa
SM17,3.15,,,UV-metric pKa,17J-02024,M19,SM17_17J-02024_M19_UV-metric pKa_report.pdf,c1ccc(cc1)CSc2nnc(o2)c3ccncc3,
SM17,3.16,,,UV-metric pKa,17J-02025,M19,SM17_17J-02025_M19_UV-metric pKa_report.pdf,c1ccc(cc1)CSc2nnc(o2)c3ccncc3,
SM17,3.17,,,UV-metric pKa,17J-02026,M19,SM17_17J-02026_M19_UV-metric pKa_report.pdf,c1ccc(cc1)CSc2nnc(o2)c3ccncc3,
SM17,3.2,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17J-12011,M19,SM17_17J-12011_M19_UV-metric psKa_report.pdf,c1ccc(cc1)CSc2nnc(o2)c3ccncc3,not used for the analysis of predicted pKa
Pyridoxine HCl,4.81,8.85,,UV-metric pKa,18E-22003,Pyridoxine HCl,18E-22003_Pyridoxine HCl_UV-metric pKa_0417936-0002.pdf,CC1=NC=C(C(=C1O)CO)CO.Cl,not included in the pKa challenge
Pyridoxine HCl,4.83,8.87,,UV-metric pKa,18E-22004,Pyridoxine HCl,18E-22004_Pyridoxine HCl_UV-metric pKa_0417936-0002.pdf ,CC1=NC=C(C(=C1O)CO)CO.Cl,not included in the pKa challenge
Pyridoxine HCl,4.84,8.86,,UV-metric pKa,18E-22010,Pyridoxine HCl,18E-22010_Pyridoxine HCl_UV-metric pKa_0417936-0002.pdf,CC1=NC=C(C(=C1O)CO)CO.Cl,not included in the pKa challenge
Pyridoxine HCl,4.85,8.79,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",18E-22011,Pyridoxine HCl,18E-22011_Pyridoxine HCl_UV-metric psKa_0417936-0002.pdf,CC1=NC=C(C(=C1O)CO)CO.Cl,not included in the pKa challenge
Pyridoxine HCl,4.85,8.79,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",18E-22012,Pyridoxine HCl,18E-22012_Pyridoxine HCl_UV-metric psKa_0417936-0002.pdf,CC1=NC=C(C(=C1O)CO)CO.Cl,not included in the pKa challenge
Pyridoxine HCl,4.86,8.77,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",18E-22013,Pyridoxine HCl,18E-22013_Pyridoxine HCl_UV-metric psKa_0417936-0002.pdf,CC1=NC=C(C(=C1O)CO)CO.Cl,not included in the pKa challenge
